,an adversary,the target,an attacker,this attack,the attacker,the adversary,such as,access to,able to,type of,this type of,a target,in order to,does not,an application,for example,operating system,sensitive information,the victim,attempt to,number of,result in,this type of attack,information about,differs from,attack pattern,types of,the same,due to,target system,adversary uses,an adversary exploits,arbitrary code,the use of,the purpose of,as well as,a weakness in,ability to,this attack pattern,based on,operating systems,try to,part of,attempts to,this attack differs from,denial of service,denial of,this pattern,closed port,gain access,the original,access control,for instance,gain access to,a victim,an attempt to,the goal of,rather than,buffer overflow,engages in,error message,web application,an adversary engages,target application,web server,an adversary engages in,targeted application,the target software,target software,legitimate users,the content of,web browser,large number of,a large number of,web service,execute arbitrary,out of,rely on,an attacker exploits,flooding attack,social engineering,weaknesses in,to determine if,accomplished by,this attack targets,lead to,takes advantage of,a flooding attack,but instead,the targeted application,input validation,execute arbitrary code,associated with,malicious code,web services,malicious content,ip address,take advantage of,variety of,obtain sensitive,os fingerprinting,interacting with,resulting in,an open port,unauthorized access,malicious script,attack against,this pattern of attack,relies on,do not,some cases,a buffer overflow,depending on,service provider,attack leverages,closed ports,this type exploits,malicious application,remote host,into performing,this os fingerprinting probe,sensitive data,error messages,supply chain,the service provider,sql injection,http request,http get,icmp error message,client side,vulnerable web,the underlying,malicious logic,domain name,brute force,sequence number,third party,cross domain,cross site,credential prompt,icmp type,man in,the middle,cross site scripting,victim's browser,rfc 793,the victim's browser,the victim's,the adversary's
try to,1,7,11,11,12,4,5,6,5,2,2,2,4,2,4,0,0,2,1,2,2,1,1,3,0,2,0,2,0,1,0,0,5,2,0,0,0,1,2,0,0,21,0,0,0,2,2,1,0,2,3,1,6,1,1,1,2,0,4,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,6,1,1,0,0,3,0,2,0,2,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
part of,14,8,7,3,4,4,4,4,5,3,1,2,4,6,5,1,2,1,2,0,1,1,1,1,2,0,0,3,2,0,1,3,2,1,1,1,2,1,0,1,0,0,24,1,0,0,0,6,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,2,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,5,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,4,0,2,1,0,0,0,1,1,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
attempts to,10,8,6,6,6,6,4,2,4,4,4,4,2,3,3,3,3,1,0,3,3,1,2,0,4,1,1,1,2,1,1,2,2,1,1,2,3,2,0,0,0,0,1,20,4,0,0,1,0,1,2,0,0,1,0,1,0,1,1,0,1,1,0,3,3,0,2,0,0,2,0,2,0,0,0,1,0,1,2,1,1,1,1,1,0,3,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
this attack differs from,8,11,6,14,5,7,4,6,6,1,1,5,3,5,1,4,0,3,0,3,2,0,1,1,14,2,2,1,1,0,0,0,0,0,1,2,2,1,1,2,0,0,0,4,14,0,0,0,0,2,0,1,0,2,1,2,0,1,0,0,0,0,0,3,0,0,1,0,0,3,1,1,2,2,0,0,0,2,1,3,0,1,0,1,0,1,0,3,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denial of service,6,4,7,7,4,3,1,4,5,3,3,0,2,1,5,1,0,2,0,2,3,2,0,2,1,1,0,2,4,0,0,1,3,0,2,0,1,2,1,1,0,2,0,0,0,18,18,1,0,1,0,2,2,1,0,1,0,2,1,0,0,1,0,0,1,0,0,1,1,1,2,0,2,2,5,2,2,0,1,2,0,1,0,1,2,0,1,1,0,0,0,2,2,1,4,2,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denial of,6,4,7,7,4,3,1,4,5,3,3,0,2,1,5,1,0,2,0,2,3,2,0,2,1,1,0,2,4,0,0,1,3,0,2,0,1,2,1,1,0,2,0,0,0,18,18,1,0,1,0,2,2,1,0,1,0,2,1,0,0,1,0,0,1,0,0,1,1,1,2,0,2,2,5,2,2,0,1,2,0,1,0,1,2,0,1,1,0,0,0,2,2,1,4,2,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this pattern,10,6,8,5,5,6,6,6,7,0,0,2,2,4,3,3,1,0,0,1,3,0,0,0,2,3,0,0,2,2,0,1,2,3,0,0,2,1,2,1,0,1,6,1,0,1,1,21,0,4,0,1,0,4,0,0,1,2,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
closed port,13,7,5,0,5,4,2,4,1,7,5,5,2,1,0,0,9,0,0,3,0,1,1,2,1,0,8,1,3,1,8,0,0,0,1,0,0,3,0,2,7,0,1,0,0,0,0,0,15,0,3,0,2,0,0,0,2,1,0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gain access,5,3,13,6,9,3,6,19,5,0,0,2,2,0,1,3,0,0,1,3,1,0,0,0,2,1,1,1,0,0,0,1,1,2,1,1,2,1,0,0,0,2,0,1,2,1,1,4,0,20,2,2,1,19,1,1,1,2,0,0,0,2,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
the original,6,2,12,3,8,5,5,5,2,2,2,2,3,2,1,1,5,1,5,3,1,2,1,0,0,1,2,4,1,0,1,1,0,3,0,1,0,0,0,0,3,3,0,2,0,0,0,0,3,2,19,1,4,1,2,1,0,1,0,0,3,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
access control,9,4,9,6,6,3,5,8,11,1,1,1,4,3,4,2,1,4,0,1,2,1,1,0,2,1,0,0,3,0,0,4,1,1,2,1,4,1,1,1,0,1,1,0,1,2,2,1,0,2,1,22,0,2,0,1,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for instance,3,2,10,9,9,3,5,6,6,3,3,1,4,4,0,0,0,2,4,2,4,0,0,2,0,1,2,4,1,1,2,0,2,0,0,0,0,2,1,3,0,6,1,0,0,2,2,0,2,1,4,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,2,2,5,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0
gain access to,5,3,12,6,8,3,6,19,5,0,0,2,1,0,1,3,0,0,0,3,1,0,0,0,2,1,1,0,0,0,0,1,1,2,1,1,2,1,0,0,0,1,0,1,2,1,1,4,0,19,1,2,0,19,1,1,1,2,0,0,0,2,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
a victim,8,2,10,5,9,4,5,6,6,5,4,1,2,1,0,3,1,1,9,1,0,1,3,2,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,1,21,0,1,0,0,0,1,4,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,3,0,0,1,0,1,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
an attempt to,11,6,3,7,4,7,2,4,4,3,3,1,0,2,3,3,2,5,1,17,0,0,2,0,2,2,1,0,1,0,1,0,0,1,1,2,0,1,2,0,0,1,0,1,2,1,1,0,0,1,1,1,0,1,0,17,0,2,1,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0,2,3,0,2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
the goal of,16,8,2,5,2,7,5,8,2,5,3,3,4,2,1,2,3,3,2,0,2,2,2,2,0,0,0,0,2,1,2,1,2,1,0,1,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,1,0,1,1,0,19,0,0,1,1,0,1,0,1,1,0,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rather than,7,7,13,6,7,5,3,4,4,2,2,2,2,5,3,3,0,2,3,2,0,0,0,1,2,1,1,1,0,0,2,1,0,4,5,1,1,0,1,0,0,0,0,1,1,2,2,2,1,2,1,1,0,2,0,2,0,19,4,0,0,1,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buffer overflow,1,7,12,6,8,0,3,2,5,3,3,0,3,4,3,2,1,2,1,1,0,3,3,0,1,2,1,0,0,0,0,0,4,5,0,0,1,1,2,0,0,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,4,18,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engages in,16,9,1,0,1,5,6,2,2,5,3,3,3,2,1,0,5,0,0,1,0,0,0,4,0,0,4,0,1,2,0,0,0,0,0,2,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,1,0,16,0,0,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error message,9,7,3,2,6,3,1,0,5,5,4,6,3,1,0,0,6,1,2,1,2,2,2,3,1,0,2,0,1,2,2,1,0,0,2,3,1,0,0,1,5,0,0,1,0,0,0,0,6,0,3,0,1,0,1,1,1,0,0,1,13,0,1,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,2,0,6,0,0,1,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
web application,8,3,9,3,4,2,7,4,6,7,7,2,2,1,1,2,0,2,3,0,0,1,6,1,0,0,0,2,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,2,0,2,0,2,0,2,4,0,0,1,0,0,0,18,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
an adversary engages,17,10,0,0,0,5,6,2,2,5,3,3,3,2,1,0,4,0,0,1,0,0,0,5,0,0,3,0,1,2,0,0,0,0,1,2,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,1,0,17,0,0,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
target application,5,10,10,7,5,3,5,2,4,2,2,10,2,1,3,7,1,5,0,1,3,5,1,0,3,1,0,1,0,0,0,0,2,0,3,1,1,1,1,0,0,0,1,3,3,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,15,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web server,6,3,7,6,5,3,4,2,2,3,3,1,3,2,0,1,0,0,3,0,0,1,2,0,0,3,1,1,1,0,1,2,1,1,0,1,1,1,1,1,0,0,1,3,0,1,1,1,0,1,3,0,0,1,1,0,1,1,0,0,2,3,0,0,18,0,0,2,2,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,3,0,1,0,0,1,0,2,1,0,0,3,0,1,0,0,1,0,0,0,0,5,2,0,2,2,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
an adversary engages in,16,9,0,0,0,5,5,2,2,5,3,3,3,2,1,0,4,0,0,1,0,0,0,4,0,0,3,0,1,2,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,1,0,16,0,0,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
targeted application,5,14,5,4,6,4,1,1,4,1,1,7,2,0,6,3,2,2,1,0,1,0,1,1,1,1,0,0,0,1,1,2,4,1,1,0,2,0,0,0,0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,0,1,2,2,0,2,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,1,0,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
the target software,2,16,7,7,7,4,3,1,0,2,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,2,0,3,2,1,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,16,16,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,2,0,3,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
target software,2,16,7,7,7,4,3,1,0,2,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,1,0,2,0,3,2,1,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,16,16,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,2,0,3,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legitimate users,11,3,1,7,2,4,2,9,3,2,2,1,3,2,1,2,2,0,0,3,3,3,1,0,4,1,0,0,3,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,3,1,1,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,3,2,0,0,1,0,8,0,0,0,1,0,0,0,8,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the content of,8,7,7,8,5,7,3,1,4,0,0,2,4,3,7,3,0,4,2,4,0,0,0,0,1,3,3,0,0,0,0,1,0,1,4,2,0,1,3,3,0,0,0,0,1,2,2,0,0,0,1,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
web browser,6,4,7,5,6,4,3,2,1,2,1,0,6,3,6,3,0,2,3,0,0,0,1,1,1,0,2,2,0,0,1,2,0,2,1,0,1,0,0,4,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,4,0,0,2,2,0,5,15,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
large number of,8,6,3,7,4,4,1,2,2,2,2,4,0,2,1,0,0,1,0,2,11,3,1,0,2,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,11,11,1,0,0,1,0,5,0,0,0,1,0,0,1,4,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a large number of,8,6,3,7,4,4,1,2,2,2,2,4,0,2,1,0,0,1,0,2,11,3,1,0,2,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,11,11,1,0,0,1,0,5,0,0,0,1,0,0,1,4,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web service,6,0,3,8,4,1,4,4,4,3,3,1,1,1,2,0,0,1,0,2,1,2,0,2,0,0,0,1,2,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,5,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,12,1,2,0,0,2,0,0,0,1,2,0,0,2,0,0,0,1,3,0,9,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
execute arbitrary,2,4,4,5,4,3,4,1,5,1,1,0,4,0,5,2,3,2,2,0,1,2,0,0,1,1,1,1,0,0,0,1,10,1,0,0,1,1,1,0,0,2,2,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,12,1,1,0,0,0,0,0,0,0,1,2,0,0,2,0,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
out of,7,4,4,4,2,2,2,4,1,3,3,1,0,0,1,1,1,1,0,4,1,2,2,0,0,0,3,0,1,0,4,0,3,2,0,0,0,3,0,2,0,2,0,0,0,2,2,0,3,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,10,0,0,0,0,0,3,3,0,1,0,0,1,0,1,1,2,0,2,0,0,0,1,1,0,1,2,3,0,0,1,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rely on,4,7,9,5,9,1,4,3,1,3,3,1,2,5,2,1,0,1,0,0,2,1,2,1,3,2,1,0,1,2,1,0,1,3,0,1,1,2,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,3,4,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,13,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an attacker exploits,0,6,15,4,7,0,3,4,2,2,1,2,3,0,3,2,2,0,1,0,0,0,0,1,2,2,0,1,2,0,0,0,0,0,1,1,6,1,1,2,1,0,0,2,1,1,1,1,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,15,0,0,2,0,0,0,3,0,0,0,0,3,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flooding attack,10,5,1,6,1,4,3,7,3,2,2,1,0,0,1,0,0,0,0,2,5,2,1,0,3,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,5,2,0,0,1,0,11,0,0,0,1,0,0,0,10,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social engineering,13,10,4,3,3,11,2,1,2,0,0,2,1,2,0,0,0,4,3,1,0,3,0,2,0,2,0,2,1,2,5,1,0,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
weaknesses in,7,5,9,6,5,2,1,1,3,4,3,2,2,1,2,2,1,1,1,0,0,0,2,1,1,2,2,1,1,1,0,2,0,0,1,2,1,2,1,0,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,1,1,0,0,1,0,0,0,0,0,0,2,0,0,15,1,0,1,1,1,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to determine if,10,8,4,0,0,4,1,3,0,2,2,2,1,0,0,0,4,0,0,3,1,1,0,0,0,0,6,1,2,2,4,0,0,0,0,0,0,3,0,3,3,0,0,1,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,12,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
accomplished by,9,5,4,3,1,3,2,5,1,1,1,1,0,2,3,0,0,3,1,6,1,1,0,2,1,0,4,0,1,1,3,0,0,1,0,1,0,3,0,2,0,0,1,1,1,1,1,0,3,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,0,0,1,1,0,3,11,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
